"_id","price_start","price_end","house_area","flats_property_i","city_i","area_i","place_i","shi","ting","wei","floor_i","floor_zhu_i","lng","lat","deposit_ya","deposit_pay","s_jsf","s_gycs","s_znms","s_atm","s_dskd","s_zskf","s_fjqj","s_24hba","s_bjwx","s_sqhd","c_chuang","c_yigui","c_shuzhuo","c_kongtiao","c_canzhuo","c_nuanqi","c_tv","c_ranqi","c_wbl","c_dcl","c_rsq","c_xyj","c_bx","c_wifi","c_sf","c_cg","c_yyj","update_time_i"
4364,2380,2380,18,1,4,12,112,4,1,1,23,16,116.6077700000,39.9302300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495900800
4365,1680,1680,22,1,4,11,85,3,1,1,28,16,116.3097600000,40.0670400000,1,3,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495468800
4366,1880,1880,18,1,4,15,98,3,1,1,32,13,116.3167000000,40.0614900000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1493740800
4367,1900,1900,16,1,4,15,117,3,1,1,10,9,116.2847200000,40.0220400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494345600
4368,1800,1800,18,2,4,12,118,3,1,1,11,7,116.5462400000,40.0375500000,1,3,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1496678400
4369,5100,5100,80,2,4,11,79,2,1,1,26,12,116.3115100000,40.0654800000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494086400
4370,6500,6500,70,2,4,12,94,2,1,1,6,3,116.4009630000,39.9963190000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495382400
4371,2750,2750,19,2,4,11,85,3,1,1,18,14,116.3343700000,40.0757300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496592000
4372,2400,2400,18,1,4,12,112,3,1,1,12,7,116.5026800000,39.9247700000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496332800
4373,2700,2700,17,1,4,12,166,3,1,1,20,17,116.4778300000,39.9082400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496419200
4374,1900,1900,20,1,4,15,91,3,2,2,10,7,116.3426000000,40.0636800000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496419200
4375,2500,2500,15,1,4,12,186,3,1,1,15,13,116.5217300000,39.9241900000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496592000
4376,2700,2700,28,1,4,11,85,3,1,2,15,6,116.3211600000,40.0681200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496764800
